BatchA:

Corrupted Frame Report - Tue 17 Jun 14:01:09 CEST 2025
---------------------------------
936_A_s10_rp_7.4kHz.mpg: 0 corrupted frames, duration: 900.72s
936_A_s1_rp_7.4kHz.mpg: 1 corrupted frames, duration: 1080.84s
936_A_s2_rp_7.4kHz.mpg: 0 corrupted frames, duration: 1080.80s
936_A_s3_rp_7.4kHz.mpg: 0 corrupted frames, duration: 2295.84s
936_A_s4_rp_7.4kHz.mpg: 0 corrupted frames, duration: 1620.84s
936_A_s5_rp_7.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
936_A_s6_rp_7.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
936_A_s7_rp_7.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
936_A_s8_rp_7.4kHz.mpg: 0 corrupted frames, duration: 900.72s
936_A_s9_rp_7.4kHz.mpg: 0 corrupted frames, duration: 2280.80s
951_A_s10_rm_7.4kHz.mpg: 0 corrupted frames, duration: 900.72s
951_A_s1_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1080.88s
951_A_s2_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1080.64s
951_A_s3_rm_7.4kHz.mpg: 0 corrupted frames, duration: 2295.84s
951_A_s4_rm_7.4kHz.mpg: 1 corrupted frames, duration: 1620.80s
951_A_s5_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1620.84s
951_A_s6_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
951_A_s7_rm_7.4kHz.mpg: 0 corrupted frames, duration: 1620.88s
951_A_s8_rm_7.4kHz.mpg: 0 corrupted frames, duration: 900.72s
951_A_s9_rm_7.4kHz.mpg: 0 corrupted frames, duration: 2280.80s
955_A_s10_rm_12.4kHz.mpg: 0 corrupted frames, duration: 900.68s
955_A_s1_rm_12.4kHz.mpg: 0 corrupted frames, duration: 1080.64s
955_A_s2_rm_12.4kHz.mpg: 1 corrupted frames, duration: 1080.80s
955_A_s3_rm_12.4kHz.mpg: 1 corrupted frames, duration: 2295.80s
955_A_s4_rm_12.4kHz.mpg: 3 corrupted frames, duration: 1620.80s
955_A_s5_rm_12.4kHz.mpg: 0 corrupted frames, duration: 1620.72s
955_A_s6_rm_12.4kHz.mpg: 0 corrupted frames, duration: 1620.76s
955_A_s7_rm_12.4kHz.mpg: 0 corrupted frames, duration: 1620.76s
955_A_s8_rm_12.4kHz.mpg: 0 corrupted frames, duration: 900.68s
955_A_s9_rm_12.4kHz.mpg: 0 corrupted frames, duration: 2280.72s
970_A_s10_rp_7.4kHz.mpg: 0 corrupted frames, duration: 900.72s
970_A_s1_rp_7.4kHz.mpg: 0 corrupted frames, duration: 1080.64s
970_A_s2_rp_7.4kHz.mpg: 0 corrupted frames, duration: 1080.88s
970_A_s3_rp_7.4kHz.mpg: 0 corrupted frames, duration: 2295.80s
970_A_s4_rp_7.4kHz.mpg: 0 corrupted frames, duration: 1620.84s
970_A_s5_rp_7.4kHz.mpg: 0 corrupted frames, duration: 1620.84s
970_A_s6_rp_7.4kHz.mpg: 0 corrupted frames, duration: 1620.76s
970_A_s7_rp_7.4kHz.mpg: 0 corrupted frames, duration: 1620.80s
970_A_s8_rp_7.4kHz.mpg: 0 corrupted frames, duration: 900.72s
970_A_s9_rp_7.4kHz.mpg: 0 corrupted frames, duration: 2280.76s
982_A_s10_rm_12.4kHz.mpg: 0 corrupted frames, duration: 900.72s
982_A_s1_rm_12.4kHz.mpg: 0 corrupted frames, duration: 1080.64s
